title,label
İhracatta Türkiye'nin yarısını geçti,1
Borsa İstanbul günü düşüşle tamamladı,1
Londra ve Manchester uçuşlarında yolcu rekoru kırıldı,1
CHP’li İlgezdi’den partisine ve Kılıçdaroğlu’na eleştiri: 40 senedir iktidar olamıyorsa önce kendisini eleştirmeli,0
"Vatandaşın derdine ortak olmaya soyunan bir cumhurbaşkanı, trende saatlerce mahsur kaldı",0
Atatürk büstüne silahla ateş edip molotof kokteyli atan sanığa 18 yıl 8 ay hapis cezası,0
Bakan Soylu’ya hakaret eden Saadet Partililere adli kontrol talebi,0
"”Suudi Arabistan, Kaşıkçı konusu kapansın diye medyaya para ayırdı”",0
"Netflix, şifre paylaşımı yapanların hesaplarını kapatabilir",0
İstanbul’da tanzim satış 1 ay uzadı,0
"NASA'nın uzay aracı New Horizons, Ultima Thule'ye ulaştı. Böylece Güneş Sistemi'ndeki en uzak keşif girişimi başarıyla sonuçlandı.",0
"Yeni yıl kutlamaları büyük bir coşkuyla gerçekleşti. Dünya genelinde yüz binlerce kişi, yağışlı ve soğuk havaya aldırmadan meydanları doldurdu.",0
"ABD Başkanı Donald Trump, Kuzey Kore lideri Kim Jong-un'dan gelen görüşme teklifine olumlu yanıt verdi.",0
”İran’la Türkiye tarihinde ilk kez PKK’ya ortak operasyon düzenledi”,0
Filin altında kalan bakıcı öldü,1
Çin’den Sincan açıklaması: 2014’ten bu yana 13 bin kişi gözaltına alındı,0
Suudi Veliaht Prensi’nin bazı yetkileri elinden alındı,0
MHP’li vekilden Bülent Arınç’a tepki: Biri bunu sustursun,0
Hollanda Utrecht’te tramvayda silahlı saldırı: Yaralılar var,0
UEFA Ronaldo’nun yaptığı hareket için soruşturma başlattı,0
Erdoğan: İstanbul’u Konstantinapol yapamayacaksınız,0
17 yaşındaki ‘Egg Boy’ (Yumurta Çocuk) genç ise dünya çapında ‘kahraman’ oldu,0
İstanbul nüfusuyla 131 ülkeyi geride bıraktı,0
Washington ve Tel Aviv'in 2017'de yaptığı ayrılma başvurusu sonuçlandı. İki ülkenin 2019 yılı itibarıyla UNESCO ile üyelik bağı kalmadı.,0
"Kocaeli'nin Kartepe ilçesinde eğitim uçağı düştü, pilot yaralanırken öğrencisi yara almadan kurtuldu.",0
ALES başvuruları için son gün ne zaman? Başvuru ücreti hangi bankalara yatırılıyor?,1
Dünyanın ilk uzaktan beyin ameliyatı Çin’de yapıldı: Huawei’nin 5G teknolojisi kullanıldı,0
Eski manken Tuğba Özay: CHP’de değişim rüzgarı esmeli,0
"Karısı tarafından bıçaklanan adam haber için başlık verdi: ‘Yaz gazeteci, karısı tarafından bıçaklanan erkek mağdur’",0
"Rüzgarın yönünü hesaba katmayan Bulgar polisi, protestocular yerine kendilerine gaz sıktı",0
Türkiye’nin yaşlı nüfusu son 5 yılda yüzde 16 artarak 7 milyon 186 bin 204 kişi oldu,0
Kılıçdaroğlu: Silah fabrikasını satanlara oy verirseniz size ne milliyetçi ne de ülkücü derim,0
"Putin, Rusya ile bağlanışının yıldönümü çerçevesinde Kırım’a gidiyor",0
50 yıl önce spermi dondurulan koç baba oldu,0
Hakkında 50 yıl hapis cezası bulunan ve 151 ayrı suçtan sabıkalı kişi yakalandı,0
New York’ta 8 yaşındaki evsiz mülteci çocuk satranç şampiyonu oldu,0
Tepki çeken Avustralyalı senatörün parlamentodan gönderilmesi için başlatılan kampanya rekor kırdı,0
Rıdvan Dilmen: Türk hakemliği Avrupa’nın en kötü hakemliği,0
"Savcılık, Tahir Elçi cinayeti için yeni rapor istedi",0
Fikirtepe’de Araplar da dolandırıldı,0
"Terim’den yabancı oyuncu sınırlamasına tepki: Yalan söylüyor, futbola ihanet ediyorlar",0
Eski Galatasaray Başkanı Faruk Süren: Erdoğan çok güçlü bir lider,0
"Dünyanın en pahalı güvercini: Armando, 1.25 milyon euro’ya satıldı",0
"Yeni Zelanda saldırganı avukatını azletti, kendisini savunacak: Mahkemeyi propaganda platformuna çevirebilir",0
"ABD’de bir kadın, 9 dakikada altız bebek doğurdu",0
Yeni Zelanda’daki cami katliamı görüntüsünün sosyal medyada paylaşılmasıyla ilgili gözaltı,0
Etiyopya ve Endonezya’daki Boeing uçak kazalarında benzerlikler tespit edildi,0
İran doğruladı: Sınırda Türkiye ile ortak operasyon yapılacak,0
Şengal’de 76 cesedin gömülü olduğu toplu mezar bulundu,0
Almanları telefonla dolandıran 28 kişiye gözaltı,0
Üsküdar’da Süleyman Soylu’yla tartışan Saadet Partili gözaltına alındı,0
"Kendi kendini bıçaklayan adam, suçu eşinin üstüne atmaya çalıştı: Çocukların ifadeleri ortaya çıkardı",0
"Ekrem İmamoğlu, Yeni Zelanda’da katledilen Müslümanlar için Yasin okudu",0
”Askeri harcamalar ABD’yi iflasa sürüklüyor”,0
Tekel bayilerinden Migros’a protesto: Evine ekmek götürmeye çalışan emekçiler zor durumda bırakıldı,0
NYT: Boeing 737 Max pilotları uçak eğitimini iPad’den aldı,0
Yeni Zelanda saldırısından yaralı kurtulan Türk: 2-3 saniye geç kalsaydım ölmüştüm,0
"Yeni Zelanda saldırganının ailesi: Özür dileriz, sadece eve gidip saklanmak istiyoruz",0
"Erdoğan: Antalya dik durdukça, hiçbir Haçlı bozuntusu Türkiye’nin yükselişinin önüne geçemez",0
Erdoğan: Artık burası İslambol’dur,0
Facebook 1.5 milyon Yeni Zelanda videosunu yayından kaldırdı,0
Yeni Zelanda’da ölenlerin cenazeleri ailelerine teslim ediliyor: Çarşamba gününe kadar tamamlanacak,0
Oy pusulalarını PTT taşıyacak,0
Öykü’ye donör olduktan 39 gün sonra lösemi teşhisi konuldu,0
"Hazine ve Maliye Bakanlığı, gelecek yıl için değerli kağıt bedellerini belirledi.",0
"BBP Genel Başkanı Mustafa Destici: Bütün seçim çevrelerinde kendi adaylarımızla, kendi amblemimizle yer alacağız.",0
Iğdır'daki Kurtömer Hudut Karakolu'na düzenlenen roketli saldırıda 1 asker yaralandı.,0
"Cumhurbaşkanlığı İletişim Başkanı Altun: Neo-Haçlıların, Neo-Nazilerin ve Neo-Siyonistlerin hedefinde Erdoğan var",0
Belçika istihbaratından ‘aşırı sağ silahlanıyor’ uyarısı,0
Bloomberg: Herkesin silmeye çalıştığı katliam videosu Erdoğan’ın kampanyasında,0
Define ararken göçük altında kaldılar,0
Tarihi eseri internetten 150 TL’ye satışa çıkardılar,0
"CHP, Yeni Zelanda’ya heyet gönderiyor",0
"Bahçeli: İzmir’i hiç kimse çantada keklik görmesin, arka bahçesi zannetmesin",0
Arınç’ın konuşması tartışma yarattı: MHP’liler salonu terk etti,0
"Akşener ile Kılıçdaroğlu Balıkesir’de: Aslında cennet gibi bir ülkede yaşıyoruz, sorunlarımız da var",0
Endonezya’da sel felaketi: 70 ölü,0
"Zonguldak'ta grip şüphesiyle gittiği hastanede kanser olduğunu öğrenen 20 yaşındaki Ayla Serap Çile, tedavi gördüğü hastanede hayatını kaybetti.",0
Sudan’da muhalefet partileri hükümete uzlaşılan bir başbakanın idaresinde yeni bir hükümet kurulması çağrısında bulundu.,0
"Filistin Devlet Başkanı Abbas, 'Tüm Filistinliler tarafından reddedilen Yüzyılın Anlaşması projesini hiçbir şekilde kabul etmeyeceğiz' dedi.",0
Yeni Zelanda’da bir havalimanı şüpheli paket nedeniyle kapatıldı,0
"İmamoğlu’ndan Hürriyet ve CNN Türk’e çağrı: Yalan habere son verin, özür dileyin",0
Emeklilikte Yaşa Takılanlar Maltepe’de bir araya geldi,0
Türk heyeti Yeni Zelanda’da,0
‘Türkiye’deki her bebek 5 bin 513 dolar borçla doğuyor’,0
"Uzman çavuş, eşi ve oğlu lojmanda ölü bulundu",0
"Sırbistan’da göstericiler, devlet televizyonu binası girip canlı yayına bağlanmak istedi",0
"Ali Koç, Fenerbahçe için kitlesel kaynak yaratma projesini açıkladı",0
‘Güney Sudan’da polislerin yüzde 80’i okuma yazma bilmiyor’,0
Hasarlı binalar korkutuyor! 17 Ağustos'tan beri böyle!,1
Ya para ya konut,1
Yeni Zelanda cami katliamı sonrası sosyal medya şirketleri hedefte: Videonun yayınlanması neden engellenemedi?,0
Erdoğan’dan Avrupa’ya: Üyelik müzakerelerini durdursanız ne yazar? Keşke öyle bir karar alsalar,0
"İzmir’de banka ‘soygunu’: Gerçek kimliğiyle işlem yaptı, paranın bir kısmını almadı",0
"ABD, nükleer bombardıman uçaklarını Avrupa’ya gönderdi",0
"İmamoğlu, Yeni Zelanda’da yaşamını yitirenler için mevlit okutacak",0
"Zarif: Saddam, Halepçe katliamını Batı’nın silahlarıyla gerçekleştirdi",0
"Bilal Erdoğan: Düşünün, bu seçimlerde kim güçlenirse New York Times sevinir?",0
Ayasofya önünde Yeni Zelanda’da ölenler için gıyabi cenaze namazı kılındı,0
Erdoğan’dan Halepçe mesajı: Kürt kardeşlerimize Allah’tan rahmet diliyorum,0
Kalın: Hristiyan terörizmi tabiri İslam terörizmi tabiri kadar yanlıştır,0
Dünyada 150 milyon çocuk yetersiz besleniyor,0
"Financial Times: Türkiye, Rus hava savunma sistemleri almakla ABD’yi öfkelendiriyor",0
Temelli: Irkçılık insanlık suçudur,0
‘Yeni Zelanda saldırılarının nedeni artan göç’ diyen senatöre yumurtalı protesto,0
Yeni Zelanda saldırganının Türkiye ziyareti netleşiyor: İzmir’e gitmiş,0
Yeni Zelanda Başbakanı: Tarrant saldırıya devam etme niyetindeydi,0
"Pentagon çalışanı, Çin adına casusluk yapmaktan suçlu bulundu",0
"Fransa’da Sarı Yelekler eyleminde tansiyon yükseldi: Polis biber gazı kullandı, gazete bayileri ateşe verildi",0
Ricky Martin: Ona tetikçi diyorsunuz çünkü Müslüman değil,0
"Erdoğan: Yeniden bir Haçlı-Hilal mücadelesi istemiyoruz, çok merak ediyorsanız gereği de olur",0
Yeni Zelanda’dan saatler sonra Londra’da da Müslüman gruba saldırı düzenlenmiş,0
Meteoroloji’den son tahminler geldi: Havalar ısınacak,0
"AK Partili Göktaş: Erdoğan’a oy verdikten sonra cennetin anahtarı cebinizdedir, bunu iyi bilin",0
"‘Düzenli cinsel aktivite, böbrek taşını düşürmede yüzde 80 etkili’",0
"Trump Yeni Zelanda’daki cami katliamına ‘Berbat bir şey’ dedi, ‘terör’ demedi",0
Yeni Zelanda cami katliamcısı mahkemeye çıkarıldı: 5 Nisan’a kadar tutuklu kalacak,0
